Federal Individual Income Tax Rates History,,,,,,,,,,,,,
Nominal Dollars,,,,,,,,,,,,,
 Income Years 1913-2021,,,,,,,,,,,,,
,Married Filing Jointly,,,Married Filing Separately,,,Single Filer,,,Head of Household,,,Notes:
,37.0%,>,"$622,050 ",37.0%,>,"$518,400 ",37.0%,>,"$518,400 ",37.0%,>,"$518,400 ",
,,,,,,,,,,,,,
2019,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,Last law to change rates was the Tax Cuts and Jobs Act of 2017.
,12.0%,>,"$19,400 ",12.0%,>,"$9,700 ",12.0%,>,"$9,700 ",12.0%,>,"$9,700 ",
,22.0%,>,"$78,950 ",22.0%,>,"$39,475 ",22.0%,>,"$39,475 ",22.0%,>,"$52,850 ",
,24.0%,>,"$168,400 ",24.0%,>,"$84,200 ",24.0%,>,"$84,200 ",24.0%,>,"$84,200 ",
,32.0%,>,"$321,450 ",32.0%,>,"$160,725 ",32.0%,>,"$160,725 ",32.0%,>,"$160,700 ",
,35.0%,>,"$408,200 ",35.0%,>,"$204,100 ",35.0%,>,"$204,100 ",35.0%,>,"$204,100 ",
,37.0%,>,"$612,350 ",37.0%,>,"$510,300 ",37.0%,>,"$510,300 ",37.0%,>,"$510,300 ",
,,,,,,,,,,,,,
2018,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,Last law to change rates was the Tax Cuts and Jobs Act of 2017.
,12.0%,>,"$19,050 ",12.0%,>,"$9,525 ",12.0%,>,"$9,525 ",12.0%,>,"$13,600 ",
,22.0%,>,"$77,400 ",22.0%,>,"$38,700 ",22.0%,>,"$38,700 ",22.0%,>,"$51,800 ",
,24.0%,>,"$165,000 ",24.0%,>,"$82,500 ",24.0%,>,"$82,500 ",24.0%,>,"$82,500 ",
,32.0%,>,"$315,000 ",32.0%,>,"$157,500 ",32.0%,>,"$157,500 ",32.0%,>,"$157,500 ",
,35.0%,>,"$400,000 ",35.0%,>,"$200,000 ",35.0%,>,"$200,000 ",35.0%,>,"$200,000 ",
,37.0%,>,"$600,000 ",37.0%,>,"$300,000 ",37.0%,>,"$500,000 ",37.0%,>,"$500,000 ",
,,,,,,,,,,,,,
2017,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,Last law to change rates was the American Taxpayer Relief Act of 2012.
,15.0%,>,"$18,650 ",15.0%,>,"$9,235 ",15.0%,>,"$9,325 ",15.0%,>,"$13,350 ",
,25.0%,>,"$75,900 ",25.0%,>,"$37,950 ",25.0%,>,"$37,950 ",25.0%,>,"$50,800 ",
,28.0%,>,"$153,100 ",28.0%,>,"$76,550 ",28.0%,>,"$91,900 ",28.0%,>,"$131,200 ",
,33.0%,>,"$233,350 ",33.0%,>,"$116,675 ",33.0%,>,"$191,650 ",33.0%,>,"$212,500 ",
,35.0%,>,"$416,700 ",35.0%,>,"$208,350 ",35.0%,>,"$416,700 ",35.0%,>,"$416,700 ",
,39.6%,>,"$470,700 ",39.6%,>,"$235,350 ",39.6%,>,"$418,400 ",39.6%,>,"$444,550 ",
,,,,,,,,,,,,,
2016,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,Last law to change rates was the American Taxpayer Relief Act of 2012.
,15.0%,>,"$18,550 ",15.0%,>,"$9,275 ",15.0%,>,"$9,275 ",15.0%,>,"$13,250 ",
,25.0%,>,"$75,300 ",25.0%,>,"$37,650 ",25.0%,>,"$37,650 ",25.0%,>,"$50,400 ",
,28.0%,>,"$151,900 ",28.0%,>,"$75,950 ",28.0%,>,"$91,150 ",28.0%,>,"$130,150 ",
,33.0%,>,"$231,450 ",33.0%,>,"$115,725 ",33.0%,>,"$190,150 ",33.0%,>,"$210,800 ",
,35.0%,>,"$413,350 ",35.0%,>,"$206,675 ",35.0%,>,"$413,450 ",35.0%,>,"$413,350 ",
,39.6%,>,"$466,950 ",39.6%,>,"$233,475 ",39.6%,>,"$415,050 ",39.6%,>,"$441,000 ",
,,,,,,,,,,,,,
2015,10.0%,>,$0,10.0%,>,$0,10.0%,>,$0,10.0%,>,$0,Last law to change rates was the American Taxpayer Relief Act of 2012.
,15.0%,>,"$18,451 ",15.0%,>,"$9,226 ",15.0%,>,"$9,226 ",15.0%,>,"$13,151 ",
,25.0%,>,"$74,901 ",25.0%,>,"$37,451 ",25.0%,>,"$37,451 ",25.0%,>,"$50,201 ",
,28.0%,>,"$151,201 ",28.0%,>,"$75,601 ",28.0%,>,"$90,751 ",28.0%,>,"$129,601 ",
,33.0%,>,"$230,451 ",33.0%,>,"$115,226 ",33.0%,>,"$189,301 ",33.0%,>,"$209,851 ",
,35.0%,>,"$411,501 ",35.0%,>,"$205,751 ",35.0%,>,"$411,501 ",35.0%,>,"$411,501 ",
,39.6%,>,"$464,851 ",39.6%,>,"$232,426 ",39.6%,>,"$413,201 ",39.6%,>,"$439,001 ",
,,,,,,,,,,,,,
2014,10.0%,>,$0,10.0%,>,$0,10.0%,>,$0,10.0%,>,$0,Last law to change rates was the American Taxpayer Relief Act of 2012.
,15.0%,>,"$18,151 ",15.0%,>,"$9,076 ",15.0%,>,"$9,076 ",15.0%,>,"$12,951 ",
,25.0%,>,"$73,801 ",25.0%,>,"$36,901 ",25.0%,>,"$36,901 ",25.0%,>,"$49,401 ",
,28.0%,>,"$148,851 ",28.0%,>,"$74,426 ",28.0%,>,"$89,351 ",28.0%,>,"$127,551 ",
,33.0%,>,"$226,851 ",33.0%,>,"$113,426 ",33.0%,>,"$186,351 ",33.0%,>,"$206,601 ",
,35.0%,>,"$405,101 ",35.0%,>,"$202,551 ",35.0%,>,"$405,101 ",35.0%,>,"$405,101 ",
,39.6%,>,"$457,601 ",39.6%,>,"$228,801 ",39.6%,>,"$406,751 ",39.6%,>,"$432,201 ",
,,,,,,,,,,,,,
2013,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,Last law to change rates was the American Taxpayer Relief Act of 2012.
,15.0%,>,"$17,850 ",15.0%,>,"$8,925 ",15.0%,>,"$8,925 ",15.0%,>,"$12,750 ",
,25.0%,>,"$72,500 ",25.0%,>,"$36,250 ",25.0%,>,"$36,250 ",25.0%,>,"$48,600 ",
,28.0%,>,"$146,400 ",28.0%,>,"$73,200 ",28.0%,>,"$87,850 ",28.0%,>,"$125,450 ",
,33.0%,>,"$223,050 ",33.0%,>,"$111,525 ",33.0%,>,"$183,250 ",33.0%,>,"$203,150 ",
,35.0%,>,"$398,350 ",35.0%,>,"$199,175 ",35.0%,>,"$398,350 ",35.0%,>,"$398,350 ",
,39.6%,>,"$450,000 ",39.6%,>,"$225,000 ",39.6%,>,"$400,000 ",39.6%,>,"$425,000 ",
,,,,,,,,,,,,,
2012,10.0%,>,$0,10.0%,>,$0,10.0%,>,$0,10.0%,>,$0,Last law to change rates was the Jobs and Growth Tax Relief Reconciliation Act of 2003.
,15.0%,>,"$17,400 ",15.0%,>,"$8,700 ",15.0%,>,"$8,700 ",15.0%,>,"$12,400 ",
,25.0%,>,"$70,700 ",25.0%,>,"$35,350 ",25.0%,>,"$35,350 ",25.0%,>,"$47,350 ",
,28.0%,>,"$142,700 ",28.0%,>,"$71,350 ",28.0%,>,"$85,650 ",28.0%,>,"$122,300 ",
,33.0%,>,"$217,450 ",33.0%,>,"$108,725 ",33.0%,>,"$178,650 ",33.0%,>,"$198,050 ",
,35.0%,>,"$388,350 ",35.0%,>,"$194,175 ",35.0%,>,"$388,350 ",35.0%,>,"$388,350 ",
,,,,,,,,,,,,,
2011,10.0%,>,$0,10.0%,>,$0,10.0%,>,$0,10.0%,>,$0,Last law to change rates was the Jobs and Growth Tax Relief Reconciliation Act of 2003.
,15.0%,>,"$17,000 ",15.0%,>,"$8,500 ",15.0%,>,"$8,500 ",15.0%,>,"$12,150.00",
,25.0%,>,"$69,000 ",25.0%,>,"$34,500 ",25.0%,>,"$34,500 ",25.0%,>,"$46,250 ",
,28.0%,>,"$139,350 ",28.0%,>,"$69,675 ",28.0%,>,"$83,600 ",28.0%,>,"$119,400 ",
,33.0%,>,"$212,300 ",33.0%,>,"$106,150 ",33.0%,>,"$174,400 ",33.0%,>,"$193,350 ",
,35.0%,>,"$379,150 ",35.0%,>,"$189,575 ",35.0%,>,"$379,150 ",35.0%,>,"$379,150 ",
,,,,,,,,,,,,,
2010,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,Last law to change rates was the Jobs and Growth Tax Relief Reconciliation Act of 2003.
,15.0%,>,"$16,750 ",15.0%,>,"$8,375 ",15.0%,>,"$8,375 ",15.0%,>,"$11,950 ",
,25.0%,>,"$68,000 ",25.0%,>,"$34,000 ",25.0%,>,"$34,000 ",25.0%,>,"$45,550 ",
,28.0%,>,"$137,300 ",28.0%,>,"$68,650 ",28.0%,>,"$82,400 ",28.0%,>,"$117,650 ",
,33.0%,>,"$209,250 ",33.0%,>,"$104,625 ",33.0%,>,"$171,850 ",33.0%,>,"$190,550 ",
,35.0%,>,"$373,650 ",35.0%,>,"$186,825 ",35.0%,>,"$373,650 ",35.0%,>,"$373,650 ",
,,,,,,,,,,,,,
2009,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,Last law to change rates was the Jobs and Growth Tax Relief Reconciliation Act of 2003.
,15.0%,>,"$16,700 ",15.0%,>,"$8,350 ",15.0%,>,"$8,350 ",15.0%,>,"$11,950 ",
,25.0%,>,"$67,900 ",25.0%,>,"$33,950 ",25.0%,>,"$33,950 ",25.0%,>,"$45,500 ",
,28.0%,>,"$137,050 ",28.0%,>,"$68,525 ",28.0%,>,"$82,250 ",28.0%,>,"$117,450 ",
,33.0%,>,"$208,850 ",33.0%,>,"$104,425 ",33.0%,>,"$171,550 ",33.0%,>,"$190,200 ",
,35.0%,>,"$372,950 ",35.0%,>,"$186,475 ",35.0%,>,"$372,950 ",35.0%,>,"$372,950 ",
,,,,,,,,,,,,,
2008,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,Last law to change rates was the Jobs and Growth Tax Relief Reconciliation Act of 2003.
,15.0%,>,"$16,050 ",15.0%,>,"$8,025 ",15.0%,>,"$8,025 ",15.0%,>,"$11,450 ",
,25.0%,>,"$65,100 ",25.0%,>,"$32,550 ",25.0%,>,"$32,550 ",25.0%,>,"$43,650 ",
,28.0%,>,"$131,450 ",28.0%,>,"$65,725 ",28.0%,>,"$78,850 ",28.0%,>,"$112,650 ",
,33.0%,>,"$200,300 ",33.0%,>,"$100,150 ",33.0%,>,"$164,550 ",33.0%,>,"$182,400 ",
,35.0%,>,"$357,700 ",35.0%,>,"$178,850 ",35.0%,>,"$357,700 ",35.0%,>,"$357,700 ",
,,,,,,,,,,,,,
2007,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,Last law to change rates was the Jobs and Growth Tax Relief Reconciliation Act of 2003.
,15.0%,>,"$15,650 ",15.0%,>,"$7,825 ",15.0%,>,"$7,825 ",15.0%,>,"$11,200 ",
,25.0%,>,"$63,700 ",25.0%,>,"$31,850 ",25.0%,>,"$31,850 ",25.0%,>,"$42,650 ",
,28.0%,>,"$128,500 ",28.0%,>,"$64,250 ",28.0%,>,"$77,100 ",28.0%,>,"$110,100 ",
,33.0%,>,"$195,850 ",33.0%,>,"$97,925 ",33.0%,>,"$160,850 ",33.0%,>,"$178,350 ",
,35.0%,>,"$349,700 ",35.0%,>,"$174,850 ",35.0%,>,"$349,700 ",35.0%,>,"$349,700 ",
,,,,,,,,,,,,,
2006,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,Last law to change rates was the Jobs and Growth Tax Relief Reconciliation Act of 2003.
,15.0%,>,"$15,100 ",15.0%,>,"$7,550 ",15.0%,>,"$7,550 ",15.0%,>,"$10,750 ",
,25.0%,>,"$61,300 ",25.0%,>,"$30,650 ",25.0%,>,"$30,650 ",25.0%,>,"$41,050 ",
,28.0%,>,"$123,700 ",28.0%,>,"$61,850 ",28.0%,>,"$74,200 ",28.0%,>,"$106,000 ",
,33.0%,>,"$188,450 ",33.0%,>,"$94,225 ",33.0%,>,"$154,800 ",33.0%,>,"$171,650 ",
,35.0%,>,"$336,550 ",35.0%,>,"$168,275 ",35.0%,>,"$336,550 ",35.0%,>,"$336,550 ",
,,,,,,,,,,,,,
2005,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,Last law to change rates was the Jobs and Growth Tax Relief Reconciliation Act of 2003.
,15.0%,>,"$14,600 ",15.0%,>,"$7,300 ",15.0%,>,"$7,300 ",15.0%,>,"$10,450 ",
,25.0%,>,"$59,400 ",25.0%,>,"$29,700 ",25.0%,>,"$29,700 ",25.0%,>,"$39,800 ",
,28.0%,>,"$119,950 ",28.0%,>,"$59,975 ",28.0%,>,"$71,950 ",28.0%,>,"$102,800 ",
,33.0%,>,"$182,800 ",33.0%,>,"$91,400 ",33.0%,>,"$150,150 ",33.0%,>,"$166,450 ",
,35.0%,>,"$326,450 ",35.0%,>,"$163,225 ",35.0%,>,"$326,450 ",35.0%,>,"$326,450 ",
,,,,,,,,,,,,,
2004,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,Last law to change rates was the Jobs and Growth Tax Relief Reconciliation Act of 2003.
,15.0%,>,"$14,300 ",15.0%,>,"$7,150 ",15.0%,>,"$7,150 ",15.0%,>,"$10,200 ",
,25.0%,>,"$58,100 ",25.0%,>,"$29,050 ",25.0%,>,"$29,050 ",25.0%,>,"$38,900 ",
,28.0%,>,"$117,250 ",28.0%,>,"$58,625 ",28.0%,>,"$70,350 ",28.0%,>,"$100,500 ",
,33.0%,>,"$178,650 ",33.0%,>,"$89,325 ",33.0%,>,"$146,750 ",33.0%,>,"$162,700 ",
,35.0%,>,"$319,100 ",35.0%,>,"$159,550 ",35.0%,>,"$319,100 ",35.0%,>,"$319,500 ",
,,,,,,,,,,,,,
2003,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,Last law to change rates was the Jobs and Growth Tax Relief Reconciliation Act of 2003.
,15.0%,>,"$14,000 ",15.0%,>,"$7,000 ",15.0%,>,"$7,000 ",15.0%,>,"$10,000 ",
,25.0%,>,"$56,800 ",25.0%,>,"$23,725 ",25.0%,>,"$28,400 ",25.0%,>,"$38,050 ",
,28.0%,>,"$114,650 ",28.0%,>,"$57,325 ",28.0%,>,"$68,800 ",28.0%,>,"$98,250 ",
,33.0%,>,"$174,700 ",33.0%,>,"$87,350 ",33.0%,>,"$143,500 ",33.0%,>,"$159,100 ",
,35.0%,>,"$311,950 ",35.0%,>,"$155,975 ",35.0%,>,"$311,950 ",35.0%,>,"$311,950 ",
,,,,,,,,,,,,,
2002,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,Last law to change rates was the Economic Growth and Tax Relief Reconciliation Act of 2001.
,15.0%,>,"$12,000 ",15.0%,>,"$6,000 ",15.0%,>,"$6,000 ",15.0%,>,"$10,000 ",
,27.0%,>,"$46,700 ",27.0%,>,"$23,350 ",27.0%,>,"$27,950 ",27.0%,>,"$37,450 ",
,30.0%,>,"$112,850 ",30.0%,>,"$56,425 ",30.0%,>,"$67,700 ",30.0%,>,"$96,700 ",
,35.0%,>,"$171,950 ",35.0%,>,"$85,975 ",35.0%,>,"$141,250 ",35.0%,>,"$156,600 ",
,38.6%,>,"$307,050 ",38.6%,>,"$153,525 ",38.6%,>,"$307,050 ",38.6%,>,"$307,050 ",
,,,,,,,,,,,,,
2001,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,Last law to change rates was the Economic Growth and Tax Relief Reconciliation Act of 2001.
,27.5%,>,"$45,200 ",27.5%,>,"$22,600 ",27.5%,>,"$27,050 ",27.5%,>,"$36,250 ",
,30.5%,>,"$109,250 ",30.5%,>,"$54,625 ",30.5%,>,"$65,550 ",30.5%,>,"$93,650 ",
,35.5%,>,"$166,500 ",35.5%,>,"$83,250 ",35.5%,>,"$136,750 ",35.5%,>,"$151,650 ",
,39.1%,>,"$297,350 ",39.1%,>,"$148,675 ",39.1%,>,"$297,350 ",39.1%,>,"$297,350 ",
,,,,,,,,,,,,,
2000,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,Last law to change rates was the Omnibus Budget Reconciliation Act of 1993.
,28.0%,>,"$43,850 ",28.0%,>,"$21,925 ",28.0%,>,"$26,250 ",28.0%,>,"$35,150 ",
,31.0%,>,"$105,950 ",31.0%,>,"$52,975 ",31.0%,>,"$63,550 ",31.0%,>,"$90,800 ",
,36.0%,>,"$161,450 ",36.0%,>,"$80,725 ",36.0%,>,"$132,600 ",36.0%,>,"$147,050 ",
,39.6%,>,"$288,350 ",39.6%,>,"$144,175 ",39.6%,>,"$288,350 ",39.6%,>,"$288,350 ",
,,,,,,,,,,,,,
1999,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,Last law to change rates was the Omnibus Budget Reconciliation Act of 1993.
,28.0%,>,"$43,050 ",28.0%,>,"$21,525 ",28.0%,>,"$25,750 ",28.0%,>,"$34,550 ",
,31.0%,>,"$104,050 ",31.0%,>,"$52,025 ",31.0%,>,"$62,450 ",31.0%,>,"$89,150 ",
,36.0%,>,"$158,550 ",36.0%,>,"$79,275 ",36.0%,>,"$130,250 ",36.0%,>,"$144,400 ",
,39.6%,>,"$283,150 ",39.6%,>,"$141,575 ",39.6%,>,"$283,150 ",39.6%,>,"$283,150 ",
,,,,,,,,,,,,,
1998,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,Last law to change rates was the Omnibus Budget Reconciliation Act of 1993.
,28.0%,>,"$42,350 ",28.0%,>,"$21,175 ",28.0%,>,"$25,350 ",28.0%,>,"$33,950 ",
,31.0%,>,"$102,300 ",31.0%,>,"$51,150 ",31.0%,>,"$61,400 ",31.0%,>,"$87,700 ",
,36.0%,>,"$155,950 ",36.0%,>,"$77,975 ",36.0%,>,"$128,100 ",36.0%,>,"$142,000 ",
,39.6%,>,"$278,450 ",39.6%,>,"$139,225 ",39.6%,>,"$278,450 ",39.6%,>,"$278,450 ",
,,,,,,,,,,,,,
1997,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,Last law to change rates was the Omnibus Budget Reconciliation Act of 1993.
,28.0%,>,"$41,200 ",28.0%,>,"$20,600 ",28.0%,>,"$24,650 ",28.0%,>,"$33,050 ",
,31.0%,>,"$99,600 ",31.0%,>,"$49,800 ",31.0%,>,"$59,750 ",31.0%,>,"$85,350 ",
,36.0%,>,"$151,750 ",36.0%,>,"$75,875 ",36.0%,>,"$124,650 ",36.0%,>,"$138,200 ",
,39.6%,>,"$271,050 ",39.6%,>,"$135,525 ",39.6%,>,"$271,050 ",39.6%,>,"$271,050 ",
,,,,,,,,,,,,,
1996,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,Last law to change rates was the Omnibus Budget Reconciliation Act of 1993.
,28.0%,>,"$40,100 ",28.0%,>,"$20,050 ",28.0%,>,"$24,000 ",28.0%,>,"$32,150 ",
,31.0%,>,"$96,900 ",31.0%,>,"$48,450 ",31.0%,>,"$58,150 ",31.0%,>,"$83,050 ",
,36.0%,>,"$147,700 ",36.0%,>,"$73,850 ",36.0%,>,"$121,300 ",36.0%,>,"$134,500 ",
,39.6%,>,"$263,750 ",39.6%,>,"$131,875 ",39.6%,>,"$263,750 ",39.6%,>,"$263,750 ",
,,,,,,,,,,,,,
1995,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,Last law to change rates was the Omnibus Budget Reconciliation Act of 1993.
,28.0%,>,"$39,000 ",28.0%,>,"$19,500 ",28.0%,>,"$23,350 ",28.0%,>,"$31,250 ",
,31.0%,>,"$94,250 ",31.0%,>,"$47,125 ",31.0%,>,"$56,550 ",31.0%,>,"$80,750 ",
,36.0%,>,"$143,600 ",36.0%,>,"$71,800 ",36.0%,>,"$117,950 ",36.0%,>,"$130,800 ",
,39.6%,>,"$256,500 ",39.6%,>,"$128,250 ",39.6%,>,"$256,500 ",39.6%,>,"$256,500 ",
,,,,,,,,,,,,,
1994,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,Last law to change rates was the Omnibus Budget Reconciliation Act of 1993.
,28.0%,>,"$38,000 ",28.0%,>,"$19,000 ",28.0%,>,"$22,750 ",28.0%,>,"$30,500 ",
,31.0%,>,"$91,850 ",31.0%,>,"$45,925 ",31.0%,>,"$55,100 ",31.0%,>,"$78,700 ",
,36.0%,>,"$140,000 ",36.0%,>,"$70,000 ",36.0%,>,"$115,000 ",36.0%,>,"$127,500 ",
,39.6%,>,"$250,000 ",39.6%,>,"$125,000 ",39.6%,>,"$250,000 ",39.6%,>,"$250,000 ",
,,,,,,,,,,,,,
1993,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,Last law to change rates was the Omnibus Budget Reconciliation Act of 1993.
,28.0%,>,"$36,900 ",28.0%,>,"$18,450 ",28.0%,>,"$22,100 ",28.0%,>,"$29,600 ",
,31.0%,>,"$89,150 ",31.0%,>,"$44,575 ",31.0%,>,"$53,500 ",31.0%,>,"$76,400 ",
,36.0%,>,"$140,000 ",36.0%,>,"$70,000 ",36.0%,>,"$115,000 ",36.0%,>,"$127,500 ",
,39.6%,>,"$250,000 ",39.6%,>,"$125,000 ",39.6%,>,"$250,000 ",39.6%,>,"$250,000 ",
,,,,,,,,,,,,,
1992,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,Last law to change rates was the Omnibus Budget Reconciliation Act of 1990.
,28.0%,>,"$35,800 ",28.0%,>,"$17,900 ",28.0%,>,"$21,450 ",28.0%,>,"$28,750 ",
,31.0%,>,"$86,500 ",31.0%,>,"$43,250 ",31.0%,>,"$51,900 ",31.0%,>,"$74,150 ",
,,,,,,,,,,,,,
1991,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,Last law to change rates was the Omnibus Budget Reconciliation Act of 1990.
,28.0%,>,"$34,000 ",28.0%,>,"$17,000 ",28.0%,>,"$20,350 ",28.0%,>,"$27,300 ",
,31.0%,>,"$82,150 ",31.0%,>,"$41,075 ",31.0%,>,"$49,300 ",31.0%,>,"$70,450 ",
,,,,,,,,,,,,,
1990,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,Last law to change rates was the Tax Reform Act of 1986.
,28.0%,>,"$32,450 ",28.0%,>,"$16,225 ",28.0%,>,"$19,450 ",28.0%,>,"$26,050 ","(a) A 33% ""rate bubble"" applied between $78,400 and $162,770 for married filing jointly, between $39,200 and $123,570 for married filing separately, between $47,050 and $97,620 for singles, and between $67,200 and $134,930 for heads of households, the purpose being to recapture the revenue that upper-income taxpayers had saved by applying the 15% rate."
,,,,,,,,,,,,,
1989,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,Last law to change rates was the Tax Reform Act of 1986.
,28.0%,>,"$30,950 ",28.0%,>,"$15,475 ",28.0%,>,"$18,550 ",28.0%,>,"$24,850 ","(a) A 33% ""rate bubble"" applied between $74,850 and $155,320 for married filing jointly, between $37,425 and $117,895 for married filing separately, between $44,900 and $93,130 for singles, and between $64,200 and $128,810 for heads of households, the purpose being to recapture the revenue that upper-income taxpayers had saved by applying the 15% rate."
,,,,,,,,,,,,,
1988,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,15.0%,>,$0 ,Last law to change rates was the Tax Reform Act of 1986.
,28.0%,>,"$29,750 ",28.0%,>,"$14,875 ",28.0%,>,"$17,850 ",28.0%,>,"$23,900 ","(a) A 33% ""rate bubble"" applied between $71,900 and $149,250 for married filing jointly, between $35,950 and $113,300 for married filing separately, between $43,150 and $89,560 for singles, and between $61,650 and $123,790 for heads of households, the purpose being to recapture the revenue that upper-income taxpayers had saved by applying the 15% rate."
,,,,,,,,,,,,,
1987,11.0%,>,$0 ,11.0%,>,$0 ,11.0%,>,$0 ,11.0%,>,$0 ,Last law to change rates was the Tax Reform Act of 1986.
,15.0%,>,"$3,000 ",15.0%,>,"$1,500 ",15.0%,>,"$1,800 ",15.0%,>,"$2,500 ",
,28.0%,>,"$28,000 ",28.0%,>,"$14,000 ",28.0%,>,"$16,800 ",28.0%,>,"$23,000 ",
,35.0%,>,"$45,000 ",35.0%,>,"$22,500 ",35.0%,>,"$27,000 ",35.0%,>,"$38,000 ",
,38.5%,>,"$90,000 ",38.5%,>,"$45,000 ",38.5%,>,"$54,000 ",38.5%,>,"$80,000 ",
,,,,,,,,,,,,,
1986,0.0%,>,$0 ,0.0%,>,$0 ,0.0%,>,$0 ,0.0%,>,$0 ,Last law to change rates was the Tax Reform Act of 1986.
,11.0%,>,"$3,670 ",11.0%,>,"$1,835 ",11.0%,>,"$2,480 ",11.0%,>,"$2,480 ",
,12.0%,>,"$5,940 ",12.0%,>,"$2,970 ",12.0%,>,"$3,670 ",12.0%,>,"$4,750 ",
,14.0%,>,"$8,200 ",14.0%,>,"$4,100 ",14.0%,>,"$4,750 ",14.0%,>,"$7,010 ",
,16.0%,>,"$12,840 ",16.0%,>,"$6,420 ",15.0%,>,"$7,010 ",17.0%,>,"$9,390 ",
